[lowlevel-sim][GT] t=6.451 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.501 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.551 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.601 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.651 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.701 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.751 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.801 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.851 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.901 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=6.951 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.001 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.051 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.101 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.151 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.201 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.251 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.301 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.351 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.401 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.451 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.501 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.551 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.601 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.651 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.701 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.751 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.801 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.851 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.901 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=7.951 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
