index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_qw,torso_qx,torso_qy,torso_qz
1611,32219.995,1787268373226.917,169454504.214,0.000000000,0.676807761,-0.022309247,0.735534787,0.020542856
1612,32240.002,1787268373246.923,169454524.221,0.000000000,0.676805735,-0.022302154,0.735536695,0.020548169
1613,32259.992,1787268373266.913,169454544.210,0.000000000,0.676807046,-0.022294262,0.735535562,0.020558920
1614,32279.989,1787268373286.910,169454564.207,0.000000000,0.676808298,-0.022298552,0.735534549,0.020550825
1615,32299.992,1787268373306.913,169454584.210,0.000000000,0.676810145,-0.022299206,0.735532880,0.020548379
1616,32319.991,1787268373326.912,169454604.209,0.000000000,0.676811755,-0.022311298,0.735531211,0.020539358
1617,32340.001,1787268373346.922,169454624.219,0.000000000,0.676810145,-0.022314947,0.735532641,0.020537261
1618,32360.005,1787268373366.926,169454644.223,0.000000000,0.676814198,-0.022311319,0.735529065,0.020537566
1619,32380.001,1787268373386.922,169454664.220,0.000000000,0.676818848,-0.022312175,0.735524774,0.020534839
1620,32400.000,1787268373406.921,169454684.218,0.000000000,0.676817477,-0.022295563,0.735526204,0.020547902
1621,32420.009,1787268373426.930,169454704.227,0.000000000,0.676818132,-0.022294555,0.735525727,0.020544829
1622,32440.000,1787268373446.921,169454724.219,0.000000000,0.676823020,-0.022295602,0.735521078,0.020545434
1623,32460.013,1787268373466.934,169454744.231,0.000000000,0.676825702,-0.022297768,0.735518575,0.020545814
1624,32480.003,1787268373486.924,169454764.222,0.000000000,0.676822126,-0.022301629,0.735521972,0.020543659
1625,32499.997,1787268373506.918,169454784.216,0.000000000,0.676819146,-0.022311883,0.735524535,0.020536115
1626,32520.001,1787268373526.922,169454804.220,0.000000000,0.676820159,-0.022294711,0.735523999,0.020545648
1627,32539.993,1787268373546.914,169454824.212,0.000000000,0.676824391,-0.022299500,0.735519826,0.020539539
1628,32559.989,1787268373566.910,169454844.208,0.000000000,0.676829278,-0.022301557,0.735515356,0.020540178
1629,32579.999,1787268373586.920,169454864.217,0.000000000,0.676831067,-0.022306476,0.735513747,0.020535858
1630,32600.006,1787268373606.927,169454884.225,0.000000000,0.676834702,-0.022305120,0.735510468,0.020534482
1631,32619.994,1787268373626.915,169454904.212,0.000000000,0.676835239,-0.022305755,0.735510111,0.020527715
1632,32639.993,1787268373646.914,169454924.211,0.000000000,0.676830411,-0.022306006,0.735514700,0.020525884
1633,32659.992,1787268373666.913,169454944.211,0.000000000,0.676832497,-0.022302022,0.735512793,0.020525577
1634,32680.004,1787268373686.925,169454964.222,0.000000000,0.676835895,-0.022303645,0.735509694,0.020525943
1635,32700.004,1787268373706.926,169454984.223,0.000000000,0.676835477,-0.022286918,0.735510111,0.020543024
1636,32719.995,1787268373726.917,169455004.214,0.000000000,0.676841080,-0.022279032,0.735504985,0.020552723
1637,32740.003,1787268373746.924,169455024.222,0.000000000,0.676841080,-0.022282323,0.735504806,0.020550516
1638,32759.991,1787268373766.912,169455044.209,0.000000000,0.676842749,-0.022276308,0.735503256,0.020557655
1639,32779.990,1787268373786.912,169455064.209,0.000000000,0.676848233,-0.022273770,0.735498250,0.020560062
1640,32800.001,1787268373806.922,169455084.219,0.000000000,0.676848829,-0.022274740,0.735497653,0.020561542
1641,32819.996,1787268373826.917,169455104.215,0.000000000,0.676848650,-0.022279067,0.735497773,0.020555530
1642,32839.989,1787268373846.910,169455124.208,0.000000000,0.676843584,-0.022289498,0.735502601,0.020545788
1643,32859.991,1787268373866.912,169455144.209,0.000000000,0.676845253,-0.022288699,0.735500932,0.020550424
1644,32880.004,1787268373886.925,169455164.223,0.000000000,0.676849604,-0.022304371,0.735496640,0.020542661
1645,32899.999,1787268373906.921,169455184.218,0.000000000,0.676849246,-0.022311203,0.735496938,0.020534564
1646,32919.992,1787268373926.913,169455204.210,0.000000000,0.676848173,-0.022312798,0.735498011,0.020533094
1647,32939.995,1787268373946.916,169455224.213,0.000000000,0.676849723,-0.022310808,0.735496461,0.020531872
1648,32959.999,1787268373966.920,169455244.217,0.000000000,0.676848471,-0.022296777,0.735497892,0.020540252
1649,32980.000,1787268373986.921,169455264.218,0.000000000,0.676847339,-0.022310290,0.735498667,0.020536652
1650,32999.999,1787268374006.920,169455284.217,0.000000000,0.676858366,-0.022302765,0.735488534,0.020544622
1651,33019.990,1787268374026.911,169455304.208,0.000000000,0.676860332,-0.022302005,0.735486567,0.020547211
1652,33039.990,1787268374046.911,169455324.209,0.000000000,0.676861346,-0.022304939,0.735485733,0.020544941
1653,33059.996,1787268374066.917,169455344.214,0.000000000,0.676865935,-0.022313295,0.735481262,0.020539919
1654,33079.989,1787268374086.910,169455364.207,0.000000000,0.676870227,-0.022296626,0.735477567,0.020548845
1655,33099.994,1787268374106.915,169455384.212,0.000000000,0.676868856,-0.022295658,0.735478938,0.020545226
1656,33119.996,1787268374126.917,169455404.215,0.000000000,0.676872551,-0.022307327,0.735475779,0.020530308
1657,33139.997,1787268374146.918,169455424.215,0.000000000,0.676873326,-0.022293841,0.735475183,0.020536050
1658,33159.998,1787268374166.918,169455444.216,0.000000000,0.676874876,-0.022289881,0.735473871,0.020539250
1659,33179.988,1787268374186.909,169455464.206,0.000000000,0.676873088,-0.022300826,0.735475421,0.020530159
1660,33200.004,1787268374206.925,169455484.222,0.000000000,0.676871181,-0.022301652,0.735477149,0.020527460
1661,33219.994,1787268374226.916,169455504.213,0.000000000,0.676874399,-0.022300811,0.735474288,0.020528227
1662,33239.988,1787268374246.909,169455524.206,0.000000000,0.676871836,-0.022297869,0.735476375,0.020536689
1663,33259.993,1787268374266.914,169455544.211,0.000000000,0.676868320,-0.022305271,0.735479534,0.020533118
1664,33280.013,1787268374286.934,169455564.231,0.000000000,0.676867783,-0.022306640,0.735480130,0.020531872
1665,33300.009,1787268374306.931,169455584.228,0.000000000,0.676862180,-0.022307366,0.735485315,0.020532772
1666,33319.993,1787268374326.915,169455604.212,0.000000000,0.676867187,-0.022299174,0.735480666,0.020539189
1667,33339.992,1787268374346.913,169455624.210,0.000000000,0.676869154,-0.022298291,0.735478699,0.020538948
1668,33360.005,1787268374366.926,169455644.223,0.000000000,0.676872253,-0.022301286,0.735475957,0.020533407
1669,33379.994,1787268374386.915,169455664.212,0.000000000,0.676874101,-0.022299517,0.735474527,0.020528991
1670,33400.000,1787268374406.921,169455684.218,0.000000000,0.676875114,-0.022299875,0.735473752,0.020523498
1671,33419.993,1787268374426.915,169455704.212,0.000000000,0.676879644,-0.022296974,0.735469639,0.020524131
1672,33439.994,1787268374446.916,169455724.213,0.000000000,0.676891148,-0.022291848,0.735459089,0.020530256
1673,33459.991,1787268374466.912,169455744.210,0.000000000,0.676889837,-0.022290578,0.735460162,0.020532526
1674,33479.993,1787268374486.914,169455764.211,0.000000000,0.676893234,-0.022284873,0.735457361,0.020528767
1675,33499.994,1787268374506.915,169455784.212,0.000000000,0.676887274,-0.022278162,0.735462785,0.020536518
1676,33520.002,1787268374526.923,169455804.221,0.000000000,0.676887214,-0.022277556,0.735462725,0.020542776
1677,33539.991,1787268374546.912,169455824.209,0.000000000,0.676884770,-0.022289393,0.735464811,0.020533683
1678,33559.999,1787268374566.920,169455844.218,0.000000000,0.676882029,-0.022298731,0.735467255,0.020526329
1679,33579.991,1787268374586.912,169455864.210,0.000000000,0.676881790,-0.022299055,0.735467613,0.020522378
1680,33599.989,1787268374606.910,169455884.208,0.000000000,0.676885128,-0.022295520,0.735464573,0.020525662
1681,33620.001,1787268374626.922,169455904.220,0.000000000,0.676880777,-0.022303747,0.735468209,0.020530431
1682,33639.994,1787268374646.915,169455924.212,0.000000000,0.676877856,-0.022303199,0.735470891,0.020530393
